keyword,ly_do,cap_do
thuê,Nhu cầu thuê không phải mua - nguồn lãng phí lớn nhất của ads BĐS VN,account
cho thuê,Nhu cầu thuê không phải mua,account
cho thue,Biến thể không dấu (Google thường tự khớp nhưng thêm cho chắc),account
thuê nhà,Nhu cầu thuê,account
thuê căn hộ,Nhu cầu thuê,account
thuê chung cư,Nhu cầu thuê,account
thuê phòng,Nhu cầu thuê,account
thuê nguyên căn,Nhu cầu thuê,account
thuê văn phòng,Nhu cầu thuê văn phòng - khác tệp,account
thuê mặt bằng,Nhu cầu thuê kinh doanh,account
thuê kho,Nhu cầu thuê công nghiệp,account
thuê xưởng,Nhu cầu thuê công nghiệp,account
giá thuê,Tra cứu giá thuê,account
cho thuê lại,Nhu cầu thuê,account
ở ghép,Tìm bạn ở ghép - sinh viên/người đi làm thuê,account
tìm người ở ghép,Tìm bạn ở ghép,account
sang nhượng mặt bằng,Sang nhượng kinh doanh không phải mua BĐS sơ cấp,account
nhà trọ,Phân khúc trọ - không phải khách mua,account
phòng trọ,Phân khúc trọ,account
nhà trọ giá rẻ,Phân khúc trọ,account
ktx,Ký túc xá,account
ký túc xá,Ký túc xá,account
homestay,Lưu trú ngắn hạn,account
airbnb,Lưu trú ngắn hạn,account
booking,Đặt phòng du lịch | QA war-game 2026-07-28: hạ từ account xuống campaign — chỉ áp campaign KHÔNG bán condotel/resort (booking=giữ chỗ là intent thật),campaign
đặt phòng,Đặt phòng du lịch,account
khách sạn,Đặt phòng du lịch,account
nhà nghỉ,Lưu trú ngắn hạn,account
motel,Lưu trú ngắn hạn,account
resort giá,Đặt phòng nghỉ dưỡng không phải mua | QA war-game 2026-07-28: hạ từ account xuống campaign — chỉ áp campaign KHÔNG bán condotel/resort (booking=giữ chỗ là intent thật),campaign
giá phòng,Đặt phòng du lịch,account
theo ngày,Thuê/lưu trú theo ngày,account
theo tháng,Thuê theo tháng,account
tour,Du lịch,account
du lịch,Du lịch,account
vé máy bay,Không liên quan,account
tuyển dụng,Tìm việc không phải mua nhà,account
việc làm,Tìm việc,account
tuyển,Tìm việc,account
tuyển sales,Tìm việc,account
tuyển nhân viên,Tìm việc,account
tuyển nhân viên kinh doanh,Tìm việc,account
tuyển ctv,Tìm việc,account
cộng tác viên,Tìm việc,account
tuyển môi giới,Tìm việc,account
