keyword,nhom_adgroup,intent_tier,loai_hinh,khu_vuc,match_type,uu_tien,ghi_chu,ngay_them,vol_thang,canh_tranh,bid_thap_d,bid_cao_d,ngay_do_volume
beachtro tower,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,"brand dự án, exact - CPC rẻ nhất | CĐT: Sun Group",2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower giá,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,hỏi giá brand | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower bảng giá,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,lead magnet bảng giá | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower giá bao nhiêu,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,long-tail hỏi giá | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower mở bán,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",exact,1,hàng mới | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower mua,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,1,intent mua | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower chủ đầu tư,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,xác minh CĐT | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower vị trí,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,dẫn về block vị trí LP | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower mặt bằng,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,dẫn về block mặt bằng | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
beachtro tower tiện ích,brand-beachtro-tower,T1_brand_du_an,căn hộ,"Vũng Tàu, BR-VT",phrase,2,dẫn về block tiện ích | CĐT: Sun Group,2026-08-06,0,UNSPECIFIED,0,0,2026-08-06
