keyword,vol_thang,canh_tranh,bid_thap_d,bid_cao_d
blanca city,12100,LOW,8897,30582
csj tower vũng tàu,8100,LOW,1126,8248
blanca city vũng tàu,4400,LOW,9041,37392
chung cư melody vũng tàu,2900,LOW,541,6637
chung cư gateway vũng tàu,2900,LOW,652,10471
căn hộ vũng tàu,1600,MEDIUM,2060,17523
csj vũng tàu,1300,LOW,1368,8723
vũng tàu pearl,720,LOW,2993,9747
chung cư vũng tàu,720,MEDIUM,872,21578
gateway vũng tàu,720,LOW,1204,13445
căn hộ the song vũng tàu,720,MEDIUM,1760,17726
melody vũng tàu,480,MEDIUM,1049,9306
chung cư gold sea vũng tàu,480,LOW,698,27632
chung cư golden sea vũng tàu,480,LOW,698,27632
vung tau pearl,390,LOW,2993,17180
chung cư phoenix vũng tàu,390,LOW,299,19963
vũng tau pearl,390,LOW,2993,17180
căn hộ vũng tàu pearl,320,LOW,2505,14185
thuê căn hộ vũng tàu,260,MEDIUM,1408,9082
căn hộ csj vũng tàu,260,MEDIUM,1711,10540
chung cư lapen vũng tàu,210,LOW,0,0
căn hộ cho thuê vũng tàu,170,MEDIUM,1528,9378
vũng tàu melody,170,LOW,1621,8311
bán căn hộ vũng tàu,170,MEDIUM,721,26549
bán chung cư vũng tàu,170,MEDIUM,699,21116
chung cư lakeside vũng tàu,170,LOW,0,0
chung cư vũng tàu center,170,LOW,699,15079
căn hộ vũng tàu gần biển,140,MEDIUM,1974,12771
căn hộ view biển vũng tàu,140,LOW,3206,27234
aria vung tau,140,MEDIUM,1939,10867
vung tau pearl cdt hưng thịnh corp,140,LOW,0,0
căn hộ melody vũng tàu,110,MEDIUM,915,10265
căn hộ biển vũng tàu,110,MEDIUM,7381,34372
mua chung cư vũng tàu,110,MEDIUM,589,19472
bán căn hộ melody vũng tàu,110,LOW,502,1236
bán căn hộ gold sea vũng tàu,110,LOW,0,0
chung cư csj vũng tàu,110,LOW,1222,7240
chung cư dic phoenix vũng tàu,110,LOW,0,0
chung cư vũng tàu plaza,110,LOW,1053,28937
dic phoenix vung tau,110,LOW,2020,6981
căn hộ sơn thịnh vũng tàu,90,MEDIUM,1511,8032
can ho vung tau,90,MEDIUM,4864,35492
bán căn hộ vũng tàu pearl,90,LOW,2991,14933
cho thuê căn hộ vũng tàu,90,MEDIUM,1363,10171
chung cư vũng tàu dưới 1 tỷ,90,MEDIUM,378,9425
giá chung cư vũng tàu,90,MEDIUM,427,13617
bán chung cư gateway vũng tàu,90,LOW,356,1497
bán chung cư vũng tàu plaza,90,LOW,0,0
chung cư coopmart vũng tàu,90,LOW,0,0
chung cư lapen center vũng tàu,90,LOW,0,0
chung cư osc land vũng tàu,90,LOW,482,39178
căn hộ the maris vũng tàu,90,LOW,1820,16783
khu khang linh vũng tàu,90,LOW,0,0
lakeside vũng tàu,90,LOW,0,0
mua bán chung cư vũng tàu,90,MEDIUM,667,19963
mua chung cư melody vũng tàu,90,LOW,0,0
căn hộ vũng tàu cho thuê,70,MEDIUM,1472,8143
căn hộ gold sea vũng tàu,70,MEDIUM,1264,9494
căn hộ ở vũng tàu,70,MEDIUM,1871,15249
căn hộ 2 phòng ngủ vũng tàu,70,MEDIUM,2261,15718
căn hộ đời sống vũng tàu,70,MEDIUM,1140,10040
chung cu vung tau,70,MEDIUM,1045,34671
chung cư sơn thịnh vũng tàu,70,LOW,1220,5889
chung cư ở vũng tàu,70,MEDIUM,3333,19704
bán căn hộ aria vũng tàu,70,LOW,698,10808
bán căn hộ csj vũng tàu,70,LOW,4397,20851
bán căn hộ gateway vũng tàu,70,LOW,0,0
bán căn hộ oasky vũng tàu,70,LOW,378,9906
chung cư aria vũng tàu,70,LOW,1827,14338
chung cư hodeco vũng tàu,70,LOW,0,0
chung cư thuỷ tiên vũng tàu,70,LOW,7126,35217
chung cư thủy tiên vũng tàu,70,LOW,7126,35217
chung cư đời sống vũng tàu,70,MEDIUM,630,9508
căn hộ csj tower vũng tàu,70,MEDIUM,1742,9915
gateway vung tau,70,LOW,1743,3712
căn hộ vũng tàu giá rẻ,50,HIGH,1640,9827
căn hộ 3 phòng ngủ vũng tàu,50,HIGH,2110,13063
thuê căn hộ ở vũng tàu,50,HIGH,1258,7817
vũng tàu pearl hưng thịnh,50,LOW,3413,14215
căn hộ cho thuê vũng tàu bãi sau,50,MEDIUM,1406,7059
căn hộ bãi sau vũng tàu,50,MEDIUM,1739,12654
mua căn hộ vũng tàu,50,MEDIUM,698,38437
thuê căn hộ vũng tàu giá rẻ,50,MEDIUM,1025,6845
vũng tàu pearl tiến độ,50,LOW,3710,14185
nên mua chung cư nào ở vũng tàu,50,MEDIUM,890,23912
bán căn hộ view biển vũng tàu,50,MEDIUM,1497,16614
ban chung cu vung tau,50,LOW,722,50141
bán chung cư lakeside vũng tàu,50,LOW,0,0
bán chung cư melody vũng tàu,50,LOW,466,2435
bán chung cư phoenix vũng tàu,50,LOW,0,0
bán chung cư vũng tàu center,50,LOW,464,19963
bán căn hộ osc land vũng tàu,50,LOW,299,702
bán căn hộ sơn thịnh 2 tower vũng tàu,50,LOW,0,0
can ho vung tau gia re,50,HIGH,1640,9827
chung cư osc vũng tàu,50,LOW,0,0
căn hộ gateway vũng tàu,50,LOW,485,8378
osc land vũng tàu,50,LOW,2406,8271
tien do vung tau pearl,50,LOW,0,0
vũng tàu gateway,50,LOW,0,0
căn hộ cho thuê ở vũng tàu,40,MEDIUM,1573,6572
căn hộ gần biển vũng tàu,40,MEDIUM,2306,14987
mua chung cư trả góp vũng tàu,40,MEDIUM,3369,21707
chung cư an gia vũng tàu,40,LOW,617,10665
căn hộ chung cư vũng tàu,40,MEDIUM,2845,26551
căn hộ imperial vũng tàu,40,HIGH,1218,9794
bán chung cư dic phoenix vũng tàu,40,LOW,0,0
bán chung cư gold sea vũng tàu,40,LOW,0,0
bán chung cư lapen vũng tàu,40,LOW,0,0
bán vũng tàu pearl,40,LOW,0,0
chung cư chí linh vũng tàu,40,LOW,2256,21936
chung cư dic vũng tàu,40,LOW,803,13125
chung cư plaza vũng tàu,40,LOW,0,0
chung cư sơn thịnh 2 vũng tàu,40,LOW,1227,35790
căn hộ dic vũng tàu,40,MEDIUM,1983,11804
căn hộ mermaid seaside vũng tàu,40,MEDIUM,1980,11203
giá căn hộ vũng tàu,40,MEDIUM,1496,27480
ho vung tau,40,LOW,0,0
mua bán căn hộ vũng tàu,40,MEDIUM,698,19962
mua căn hộ vũng tàu pearl,40,LOW,0,0
mặt bằng vũng tàu pearl,40,LOW,0,0
hưng thịnh vũng tàu,30,LOW,1471,9180
căn hộ ở vũng tàu gần biển,30,HIGH,1438,13372
chung cư hưng thịnh vũng tàu,30,LOW,5361,19912
cho thuê căn hộ melody vũng tàu,30,LOW,2590,8032
chung cư vũng tàu pearl,30,LOW,0,0
căn hộ cao cấp vũng tàu,30,MEDIUM,2403,15426
bán chung cư bình an vũng tàu,30,LOW,0,0
bán chung cư coopmart vũng tàu,30,LOW,0,0
bán căn hộ osc vũng tàu,30,LOW,340,698
cho thuê căn hộ gateway vũng tàu,30,LOW,3592,12782
chung cu lapen vung tau,30,LOW,0,0
chung cư center vũng tàu,30,LOW,0,0
chung cư vũng tàu gateway,30,LOW,0,0
chung cư vũng tàu melody,30,LOW,403,6098
chung cư xã hội vũng tàu,30,LOW,0,0
các chung cư ở vũng tàu,30,LOW,3190,31467
căn hộ thuỷ tiên vũng tàu,30,LOW,618,12909
dự án chung cư vũng tàu,30,HIGH,8092,50521
giá chung cư gateway vũng tàu,30,LOW,267,514
khách sạn maris vũng tàu,30,MEDIUM,1626,8310
mua bán căn hộ melody vũng tàu,30,LOW,534,8087
căn hộ hưng thịnh vũng tàu,20,MEDIUM,3983,26549
can ho vung tau pearl,20,LOW,0,0
căn hộ vũng tàu melody,20,MEDIUM,1738,11950
căn hộ giá rẻ vũng tàu,20,HIGH,1250,20633
dự án căn hộ vũng tàu,20,LOW,9011,61272
căn hộ vung tau,20,MEDIUM,2392,15530
căn hộ sát biển vũng tàu,20,HIGH,1889,14872
căn hộ sơn thịnh 2 vũng tàu,20,MEDIUM,1423,10408
căn hộ an gia vũng tàu,20,MEDIUM,802,8220
căn hộ sơn thịnh 1 vũng tàu,20,MEDIUM,1921,7959
chung cư vũng tàu giá rẻ,20,MEDIUM,633,12750
căn hộ 1 phòng ngủ vũng tàu,20,MEDIUM,1364,9194
can ho the song vung tau,20,MEDIUM,2135,19989
ban can ho vung tau,20,HIGH,699,25723
bán chung cư hodeco vũng tàu,20,LOW,0,0
bán chung cư osc land vũng tàu,20,LOW,299,698
bán chung cư osc vũng tàu,20,LOW,527,23105
bán căn hộ biển vũng tàu,20,MEDIUM,698,25752
bán căn hộ chung cư vũng tàu,20,MEDIUM,698,23447
bán căn hộ dic phoenix vũng tàu,20,LOW,0,0
bán căn hộ imperial vũng tàu,20,LOW,698,8091
bán căn hộ phoenix vũng tàu,20,LOW,0,0
bán căn hộ sơn thịnh 2 vũng tàu,20,LOW,0,0
bán căn hộ thuỷ tiên vũng tàu,20,LOW,0,0
bán căn hộ vũng tàu plaza,20,LOW,0,0
cc gateway vũng tàu,20,LOW,0,0
cc melody vũng tàu,20,LOW,815,5949
cho thuê chung cư lakeside vũng tàu,20,LOW,0,0
cho thuê căn hộ csj vũng tàu,20,MEDIUM,1355,9407
cho thuê căn hộ dic phoenix vũng tàu,20,LOW,0,0
cho thuê căn hộ gold sea vũng tàu,20,MEDIUM,1368,10245
chung cu gateway vung tau,20,LOW,0,0
chung cu melody vung tau,20,LOW,425,8225
chung cu vung tau center,20,LOW,0,0
chung cư bãi sau vũng tàu,20,MEDIUM,3432,12871
chung cư bình giã vũng tàu,20,LOW,0,0
chung cư cao cấp vũng tàu,20,MEDIUM,5103,27125
chung cư giá rẻ vũng tàu,20,MEDIUM,350,29010
chung cư gold sea vũng tàu cho thuê,20,LOW,1580,11076
chung cư osc land vũng tàu cho thuê,20,LOW,0,0
chung cư pvc ic vũng tàu,20,LOW,0,0
chung cư ruby tower vũng tàu,20,LOW,0,0
chung cư saigonres vũng tàu,20,LOW,0,0
chung cư sơn thịnh 1 vũng tàu,20,MEDIUM,2886,11562
chung cư tại vũng tàu,20,MEDIUM,698,24033
chung cư vung tau,20,MEDIUM,724,27237
chung cư vũng tàu bán,20,MEDIUM,129,24028
căn hộ maris vũng tàu,20,MEDIUM,2627,35217
căn hộ osc vũng tàu,20,MEDIUM,698,11089
căn hộ studio vũng tàu,20,MEDIUM,835,14274
five seasons homes vũng tàu hưng thịnh land,20,LOW,0,0
hồ bơi gateway vũng tàu,20,LOW,0,0
khu aria vũng tàu,20,MEDIUM,1305,5306
mua bán chung cư dic phoenix vũng tàu,20,LOW,0,0
mua bán chung cư gateway vũng tàu,20,LOW,0,0
mua bán chung cư vũng tàu center,20,LOW,0,0
mua chung cư gateway vũng tàu,20,LOW,0,0
mua chung cư phoenix vũng tàu,20,LOW,0,0
mặt bằng gateway vũng tàu,20,LOW,0,0
thuê chung cư gateway vũng tàu,20,LOW,504,3407
thuê căn hộ 3 phòng ngủ vũng tàu,20,MEDIUM,1868,9982
vung tau pearl hung thinh,20,LOW,3712,15149
fiveseasons homes vũng tàu,10,UNSPECIFIED,0,0
five seasons homes vũng tàu,10,LOW,0,0
căn hộ vung tau pearl,10,LOW,0,0
thuê căn hộ melody vũng tàu theo ngày,10,HIGH,1879,6457
fiveseasons homes vung tau central beach,10,UNSPECIFIED,0,0
căn hộ cho thuê vũng tàu giá rẻ,10,MEDIUM,2010,11068
five seasons homes vung tau,10,UNSPECIFIED,0,0
costa del blanca,10,UNSPECIFIED,0,0
căn hộ five season vũng tàu,10,LOW,0,0
thuê căn hộ melody vũng tàu,10,MEDIUM,730,8084
thuê căn hộ tại vũng tàu,10,MEDIUM,1117,10151
vũng tàu pearl giá,10,MEDIUM,2993,14185
hưng thịnh vũng tàu pearl,10,LOW,3708,14185
thuê chung cư melody vũng tàu,10,MEDIUM,599,6251
căn hộ ven biển vũng tàu,10,HIGH,2867,40206
căn hộ gold sea vũng tàu cho thuê,10,HIGH,0,0
chí linh center vũng tàu,10,LOW,0,0
hung thinh vung tau,10,MEDIUM,3712,46333
five seasons homes vung tau central beach,10,LOW,0,0
căn hộ vũng tàu hưng thịnh,10,MEDIUM,5190,13703
thuê căn hộ gold sea vũng tàu,10,MEDIUM,573,7460
cho thuê căn hộ ở vũng tàu,10,MEDIUM,1552,8954
vung tau pearl can ho,10,UNSPECIFIED,0,0
mướn căn hộ vũng tàu,10,HIGH,1556,8618
79 đường d5 phường 10 thành phố vũng tàu,10,MEDIUM,1383,10274
alaric tower vũng tàu,10,LOW,0,0
alaric vũng tàu,10,LOW,0,0
aquamarine vũng tàu,10,LOW,0,0
ban can ho chung cu vung tau,10,HIGH,921,53018
ban can ho dic phoenix vung tau,10,UNSPECIFIED,0,0
ban can ho gateway vung tau,10,LOW,0,0
ban can ho gold sea vung tau,10,LOW,0,0
ban can ho melody vung tau,10,LOW,0,0
ban can ho mermaid seaside vung tau,10,UNSPECIFIED,0,0
ban can ho osc land vung tau,10,LOW,0,0
ban can ho the song vung tau,10,LOW,0,0
ban can ho thuy tien vung tau,10,LOW,0,0
ban can ho vung tau melody,10,UNSPECIFIED,0,0
ban chung cu gateway vung tau,10,LOW,0,0
ban chung cu lakeside vung tau,10,UNSPECIFIED,0,0
ban chung cu melody vung tau,10,MEDIUM,0,0
ban chung cu vung tau plaza,10,LOW,0,0
bán aria vũng tàu,10,LOW,0,0
bán chung cư lapen center vũng tàu,10,LOW,0,0
bán chung cư saigonres vũng tàu,10,LOW,0,0
bán chung cư sơn thịnh 2 vũng tàu,10,LOW,0,0
bán chung cư sơn thịnh vũng tàu,10,LOW,0,0
bán chung cư tại vũng tàu,10,MEDIUM,299,8090
bán chung cư vũng tàu melody,10,LOW,0,0
bán chung cư xã hội ở vũng tàu,10,LOW,0,0
bán chung cư ở vũng tàu,10,MEDIUM,1497,31643
bán căn hộ bà rịa vũng tàu,10,HIGH,0,0
bán căn hộ bãi sau vũng tàu,10,MEDIUM,563,6955
