Campaign	Ad group	Keyword	Match type
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro tower	Exact
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro tower giá	Exact
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro tower bảng giá	Exact
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro tower giá bao nhiêu	Phrase
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro tower mở bán	Exact
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro tower mua	Phrase
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro tower chính sách bán hàng	Phrase
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro tower tiến độ thanh toán	Phrase
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro tower blanca city	Exact
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro tower blanca city giá	Exact
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro tower blanca city bảng giá	Exact
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro tower blanca city giá bao nhiêu	Phrase
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro tower blanca city mở bán	Exact
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro tower blanca city mua	Phrase
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro tower blanca city chính sách bán hàng	Phrase
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro tower blanca city tiến độ thanh toán	Phrase
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro vũng tàu	Exact
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro vũng tàu giá	Exact
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro vũng tàu bảng giá	Exact
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro vũng tàu giá bao nhiêu	Phrase
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro vũng tàu mở bán	Exact
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro vũng tàu mua	Phrase
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro vũng tàu chính sách bán hàng	Phrase
BDS_Search_Brand_DuAn	brand-beachtro-tower	beachtro vũng tàu tiến độ thanh toán	Phrase
BDS_Search_Brand_DuAn	brand-beachtro-tower	căn hộ beachtro	Exact
BDS_Search_Brand_DuAn	brand-beachtro-tower	căn hộ beachtro giá	Exact
BDS_Search_Brand_DuAn	brand-beachtro-tower	căn hộ beachtro bảng giá	Exact
BDS_Search_Brand_DuAn	brand-beachtro-tower	căn hộ beachtro giá bao nhiêu	Phrase
BDS_Search_Brand_DuAn	brand-beachtro-tower	căn hộ beachtro mở bán	Exact
BDS_Search_Brand_DuAn	brand-beachtro-tower	căn hộ beachtro mua	Phrase
BDS_Search_Brand_DuAn	brand-beachtro-tower	căn hộ beachtro chính sách bán hàng	Phrase
BDS_Search_Brand_DuAn	brand-beachtro-tower	căn hộ beachtro tiến độ thanh toán	Phrase
